"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:3indfRjdborH9TbMigMQmS","Моя мила","spotify:artist:3MoZ4E89fo2vGdf2IKfRCj","Карна","spotify:album:7FgYWQZwC0UyPmjWKev0F8","Карна","spotify:artist:3MoZ4E89fo2vGdf2IKfRCj","Карна","2017-07-10","https://i.scdn.co/image/ab67616d0000b273b5ca1d6bc38f6e8ff066678c","1","5","239280","https://p.scdn.co/mp3-preview/0bf87c6727215083c0875b8f1b4ad9755cf0b714?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","QM6N21743199","spotify:user:31eggmwgwd6b5f4672kiiveoehya","2023-03-04T22:06:39Z"
"spotify:track:12L3PRi1KaDiCPhFngI6Al","Човен","spotify:artist:5fMNki1cAszN37EYRTVdOc","Odyn v Kanoe","spotify:album:2uRhbLeoSHQnqk7xQREfIP","Один в каное","spotify:artist:5fMNki1cAszN37EYRTVdOc","Odyn v Kanoe","2016-01-24","https://i.scdn.co/image/ab67616d0000b2737901a160813c13911a974184","2","1","164009","https://p.scdn.co/mp3-preview/285a0d2c98e23f77c0fee00c2c82ce32cb81f9a0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","UASH51600014","spotify:user:31eggmwgwd6b5f4672kiiveoehya","2023-03-04T22:08:01Z"
"spotify:track:4GC6tlXcAsyp4pNrlyo1pb","У мене немає дому","spotify:artist:5fMNki1cAszN37EYRTVdOc","Odyn v Kanoe","spotify:album:1lhisylKmXpuAyPsDoHv5Y","Один в каное","spotify:artist:5fMNki1cAszN37EYRTVdOc","Odyn v Kanoe","2021-06-06","https://i.scdn.co/image/ab67616d0000b273ed256f3fb4c41cf14961fef6","1","6","198428","https://p.scdn.co/mp3-preview/576ec88326f831dc78cd97cae2e7147f7406c6ff?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","UASH51900001","spotify:user:31eggmwgwd6b5f4672kiiveoehya","2023-03-04T22:08:37Z"
"spotify:track:4LKfJMumpW7HyBT05uXYUx","Тримай","spotify:artist:5lLVx3mMyUvZ9QKzM09CZa","Khrystyna Soloviy","spotify:album:0UEmRsiN0iedteTpO4EMd9","Жива вода","spotify:artist:5lLVx3mMyUvZ9QKzM09CZa","Khrystyna Soloviy","2015-09-22","https://i.scdn.co/image/ab67616d0000b2735b8f5c8e3e9f409b70dee7a9","1","3","208613","https://p.scdn.co/mp3-preview/92346bab830ac8594b68eb0b191511a0dbc9c46d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","FRX871599620","spotify:user:31eggmwgwd6b5f4672kiiveoehya","2023-03-04T23:37:38Z"
"spotify:track:0njhCw8HGa5bRNzv1yuaa2","П'яні мости","spotify:artist:62JQ43L2DbFstnSNthNPIA","Fiolet","spotify:album:6pdOTgANsDQQ1zSfy2whX8","Aurora","spotify:artist:62JQ43L2DbFstnSNthNPIA","Fiolet","2018-10-17","https://i.scdn.co/image/ab67616d0000b2731429d04d106d837d11e5ce22","1","6","188628","https://p.scdn.co/mp3-preview/54eb0ecab995949757bc0f646cc21326708cc1f5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","AEA0D1864836","spotify:user:31eggmwgwd6b5f4672kiiveoehya","2023-03-05T09:43:18Z"
"spotify:track:0GNdCqNpKiA8mXHoqR7vkZ","Припустим","spotify:artist:4lkuCrbRHsGwfVR916oqsM","The Unsleeping","spotify:album:4xj7HoZC7dzC3KTK97dmcO","Припустим","spotify:artist:4lkuCrbRHsGwfVR916oqsM","The Unsleeping","2020-05-26","https://i.scdn.co/image/ab67616d0000b27373b626987012994988b7e029","1","1","171587","https://p.scdn.co/mp3-preview/5032efebbac929f2a39f7028b621b5ad97a2420d?cid=9950ac751e34487dbbe027c4fd7f8e99","true","0","TCAEX2008898","spotify:user:31eggmwgwd6b5f4672kiiveoehya","2023-03-05T09:53:26Z"
"spotify:track:5VoXHqtPeYlHOs0GXRoiWX","Прогноз","spotify:artist:3MtohoQqvZFtmRTwzp0xSH","dity inzheneriv","spotify:album:6AKDf6yC8MtcDzwEZEK4qB","Велкам ту Юкрейн, панк","spotify:artist:3MtohoQqvZFtmRTwzp0xSH","dity inzheneriv","2021-01-22","https://i.scdn.co/image/ab67616d0000b2730f3db6eacbad72e87236c46f","1","1","176064","https://p.scdn.co/mp3-preview/ccdf814b81f7a1ad4b3a67abd36d4aefc392d0e7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","QZFZ22173210","spotify:user:31eggmwgwd6b5f4672kiiveoehya","2023-03-05T10:07:09Z"
"spotify:track:4b6uJGlRQbRDJ4RXudF3B3","Мама Галичина","spotify:artist:3MoZ4E89fo2vGdf2IKfRCj","Карна","spotify:album:5gGBmn0w2KbASIHP39xc2K","Мама Галичина","spotify:artist:3MoZ4E89fo2vGdf2IKfRCj","Карна","2022-04-15","https://i.scdn.co/image/ab67616d0000b273197fd1d47027bfef52e30c18","1","1","184285","https://p.scdn.co/mp3-preview/f153976d3b361e17dc6c4556e1d45e60da8a549d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","22","QM4TX2276013","spotify:user:31eggmwgwd6b5f4672kiiveoehya","2023-03-05T11:20:02Z"
"spotify:track:3tzOlbflkkp35cndRVdGho","7.62 мм","spotify:artist:3MtohoQqvZFtmRTwzp0xSH","dity inzheneriv","spotify:album:3NCblVp7Ul5wKjHj0fNldl","7.62 мм","spotify:artist:3MtohoQqvZFtmRTwzp0xSH","dity inzheneriv","2022-09-02","https://i.scdn.co/image/ab67616d0000b273fb29a74bb8783bc382c0504a","1","1","195622","https://p.scdn.co/mp3-preview/c9252be067a4db1978817c6ebe07036ebe055740?cid=9950ac751e34487dbbe027c4fd7f8e99","false","26","SE6XX2227822","spotify:user:31eggmwgwd6b5f4672kiiveoehya","2023-03-05T11:44:59Z"
"spotify:track:5WijqYyAGkTl0GrUlbITun","Вітролом","spotify:artist:3MoZ4E89fo2vGdf2IKfRCj","Карна","spotify:album:0FmBdAkjkEhDnOtRsbvnob","Гуцул-метал","spotify:artist:3MoZ4E89fo2vGdf2IKfRCj","Карна","2017-11-17","https://i.scdn.co/image/ab67616d0000b2733023eba94e38b552037a574b","1","4","188052","https://p.scdn.co/mp3-preview/128586fcf4daaac67019a3942d025b4acdc2da8d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","QM7281787832","spotify:user:31eggmwgwd6b5f4672kiiveoehya","2023-03-05T11:47:45Z"
