"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:0gv1TUgFI1H97yJ1uYcdfs","This Is The Best","spotify:artist:2gWNtwxO5mOAmjE8EWw2qt","USS (Ubiquitous Synergy Seeker)","spotify:album:32qm2HP8Zo7CLipIJIPN1p","Advanced Basics","spotify:artist:2gWNtwxO5mOAmjE8EWw2qt","USS (Ubiquitous Synergy Seeker)","2014-02-11","https://i.scdn.co/image/ab67616d0000b2739e49ab08b8157aeb5b8bb6e3","1","2","177147","https://p.scdn.co/mp3-preview/26c4a0748a064c8d5adafb43c9b73b71d727c337?cid=9950ac751e34487dbbe027c4fd7f8e99","true","45","CACN41300019","spotify:user:31eggmwgwd6b5f4672kiiveoehya","2022-12-20T10:47:30Z"
"spotify:track:07Hlhs0mImO07P2XhXvVxy","Blood Runs Red","spotify:artist:2Z6rBcka8huN62qUWwZSMF","78rpm","spotify:album:1f6dMiyBy6n5xFAiQusx3z","Friday Night Sessions","spotify:artist:2Z6rBcka8huN62qUWwZSMF","78rpm","2017-05-16","https://i.scdn.co/image/ab67616d0000b273a57c71fec5cc67c8500a35de","1","4","225124","https://p.scdn.co/mp3-preview/b00658373138688b95af04d50b695f324d7f453f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","USQY51751748","spotify:user:31eggmwgwd6b5f4672kiiveoehya","2022-12-20T10:48:38Z"
"spotify:track:6t4S0PR3PVbQtfeBFGEP4Y","Rule The World","spotify:artist:1sYbTp9AgWvJb0mJBAB6eP","Valley Of Wolves","spotify:album:7tUIu3wrIJjAn8Kq30Gc0T","Out For Blood","spotify:artist:1sYbTp9AgWvJb0mJBAB6eP","Valley Of Wolves","2018-01-12","https://i.scdn.co/image/ab67616d0000b273099ed57cad287666543f26d9","1","1","209999","https://p.scdn.co/mp3-preview/23a38a347f4dbfc954d4546ef372a94b8a497f23?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","US43C1604912","spotify:user:31eggmwgwd6b5f4672kiiveoehya","2022-12-20T11:20:13Z"
"spotify:track:5WzgYEfub2pFJAAZfrOult","Summer Is a Curse","spotify:artist:6VsU92soWFLtVsSP65rkrN","The Faim","spotify:album:0C8bAFI1POhzztBVShuzll","State of Mind","spotify:artist:6VsU92soWFLtVsSP65rkrN","The Faim","2019-09-13","https://i.scdn.co/image/ab67616d0000b273ebf856ce6c34800888cc382c","1","3","181216","https://p.scdn.co/mp3-preview/5822c324055436503c24d3c625f6bb60dd6346e7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","QMRSZ1800686","spotify:user:31eggmwgwd6b5f4672kiiveoehya","2022-12-20T11:20:59Z"
"spotify:track:54ARsEjoTSNclA5nOzHaux","I'm America","spotify:artist:5fpD3Iuy3RvPzcbWiekX7h","Cilver","spotify:album:7f1Ih0Oub7NJTsRjYSiQCr","Not The End Of The World","spotify:artist:5fpD3Iuy3RvPzcbWiekX7h","Cilver","2016-04-29","https://i.scdn.co/image/ab67616d0000b273687a9a380e50e7a0b3d92ac0","1","2","222173","https://p.scdn.co/mp3-preview/2c78f050f93d4c5aa653f697038cb8e9f6d6de19?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USKO11502350","spotify:user:31eggmwgwd6b5f4672kiiveoehya","2022-12-20T11:21:19Z"
"spotify:track:6w7wydcuCM9IXYeZ2KFcZr","Defy Gravity","spotify:artist:1sYbTp9AgWvJb0mJBAB6eP","Valley Of Wolves","spotify:album:3hBg3DipUx7q0Z1AIpJ64s","Defy Gravity","spotify:artist:1sYbTp9AgWvJb0mJBAB6eP","Valley Of Wolves","2022-10-20","https://i.scdn.co/image/ab67616d0000b27393cb943f0622642238a04e7c","1","1","219493","https://p.scdn.co/mp3-preview/9065ac5431e1bd1a4fc539a1757cedd431071e6c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","US43C1625849","spotify:user:31eggmwgwd6b5f4672kiiveoehya","2022-12-20T11:21:35Z"
"spotify:track:5sWrfb9vKQUnm2rSBbOSO4","Wolf","spotify:artist:6Fwq3TDWpMhcL1KTKVQiI8","Saint Asonia","spotify:album:12emOqzCBWE74T63XjZYF2","Wolf","spotify:artist:6Fwq3TDWpMhcL1KTKVQiI8","Saint Asonia","2022-10-21","https://i.scdn.co/image/ab67616d0000b273ed54c57adc36128483e3dabe","1","1","198750","https://p.scdn.co/mp3-preview/4bceec55ed02469dff1795fdc0cc15adc2c9c05b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GBUM72205702","spotify:user:31eggmwgwd6b5f4672kiiveoehya","2022-12-20T11:22:14Z"
"spotify:track:2j02RtZz6v53FRw4oWliZf","BURN IT","spotify:artist:1B0155rdv175D1tQ8VH7Oy","FEVER 333","spotify:album:5PvosHtqCuqLK8A131lGZf","STRENGTH IN NUMB333RS","spotify:artist:1B0155rdv175D1tQ8VH7Oy","FEVER 333","2019-01-18","https://i.scdn.co/image/ab67616d0000b27311a4db89b0021eb7e59c8c05","1","2","232053","https://p.scdn.co/mp3-preview/b58ab63ff4666e622ff0c593bec5257c13620578?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","NLA321800297","spotify:user:31eggmwgwd6b5f4672kiiveoehya","2022-12-20T11:24:01Z"
"spotify:track:6ldfbljsXS4kSuGxSvJTm1","Like a Nightmare","spotify:artist:7fBjvrS7ZTXcPYeCTDwWXG","Deadset Society","spotify:album:07Z1nkU8C1Cd6eNuTFihgp","Destroy + Rebuild","spotify:artist:7fBjvrS7ZTXcPYeCTDwWXG","Deadset Society","2017-07-12","https://i.scdn.co/image/ab67616d0000b27381fe29370220b0d33037c8f3","1","2","212826","https://p.scdn.co/mp3-preview/5e3bcca75fe23b89acfc90f0c78763f89ac47a29?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","CADRF1700002","spotify:user:31eggmwgwd6b5f4672kiiveoehya","2022-12-20T11:25:07Z"
"spotify:track:473xAny4InLJTlWnUNEwZq","Impossible","spotify:artist:4uOFEWy9mIcvQbr03IbPcL","Manafest","spotify:album:7f68ciNKoEoIcjYRKWz7Z5","Glory","spotify:artist:4uOFEWy9mIcvQbr03IbPcL","Manafest","2006","https://i.scdn.co/image/ab67616d0000b2731045ec0d6b9ca1152eaa9e11","1","4","238386","https://p.scdn.co/mp3-preview/01ff1aea73cce530a215e756fb05e201eeb0b3a2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","1","TCAAY1175284","spotify:user:31eggmwgwd6b5f4672kiiveoehya","2022-12-20T11:25:31Z"
