"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:5FsjKrT6g3e2IvSRs6N82p","Recomposed: Vivaldi - The Four Seasons: Summer 3","spotify:artist:5J7QOPaF2jsC7391Aam3DW","Daniel Rowland","spotify:album:5AEtrB8nLs6utcjayRtGhZ","Richter: Recomposed: Vivaldi - The Four Seasons: Summer 3","spotify:artist:5J7QOPaF2jsC7391Aam3DW","Daniel Rowland","2024-01-12","https://i.scdn.co/image/ab67616d0000b27349e37b95d7c0284bbb07d405","1","1","197133","https://p.scdn.co/mp3-preview/b13c9979f4a36908b053d1b78a01447f062e0e0d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","2","NLB152400159","spotify:user:31eggmwgwd6b5f4672kiiveoehya","2024-01-14T14:57:51Z"
"spotify:track:1o9JJeBKlVxQ9O4j5Qd4Vh","Give Me Everything - Stripped Down","spotify:artist:74rnJF4h8ScpbyEhLholBg","Archer Marsh","spotify:album:6w1oQvnsjA0y4x6qhBs2wq","Sequēns","spotify:artist:74rnJF4h8ScpbyEhLholBg","Archer Marsh","2022-12-01","https://i.scdn.co/image/ab67616d0000b2735e84bec51f6aa64241caf94b","1","12","132096","https://p.scdn.co/mp3-preview/1a35486ba16f7974c62f90c8fef6c54c423e190f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","66","QMRSZ2202878","spotify:user:31eggmwgwd6b5f4672kiiveoehya","2024-06-05T20:52:23Z"
"spotify:track:1LrQ65DVZSDXhARvnJhqyt","Dangerous Woman","spotify:artist:0a8R0F182UvwpAwHX0KyIc, spotify:artist:1hRoKksPsYDta0v1047Szc, spotify:artist:1N1VqIcwt4WpmUBuqtMjYi, spotify:artist:1rjeVTt9Ra1ldvN7SpeK0G, spotify:artist:1vDwkq5D8jFnRavHw52HRM, spotify:artist:1s71OiuXqJ8Catad9h0dlq, spotify:artist:7xpyZgjHGaPH4vgHga8BbO","Tom Evans, Justas Kulikauskas, Johan Jens Erik Carlsson, Max Martin, Ross Jacob Golan, Power-Haus, Future Cello","spotify:album:1ueN2L5tkbthuNz8Ghyhq6","Dangerous Woman","spotify:artist:0a8R0F182UvwpAwHX0KyIc, spotify:artist:1hRoKksPsYDta0v1047Szc, spotify:artist:1N1VqIcwt4WpmUBuqtMjYi, spotify:artist:1rjeVTt9Ra1ldvN7SpeK0G, spotify:artist:1vDwkq5D8jFnRavHw52HRM, spotify:artist:1s71OiuXqJ8Catad9h0dlq, spotify:artist:7xpyZgjHGaPH4vgHga8BbO","Tom Evans, Justas Kulikauskas, Johan Jens Erik Carlsson, Max Martin, Ross Jacob Golan, Power-Haus, Future Cello","2021-10-29","https://i.scdn.co/image/ab67616d0000b2735c9250af2124b1febf631114","1","1","173241","https://p.scdn.co/mp3-preview/7fc6bc3ed093bb3cb8820ac0ca6a81538f27c3de?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","GBHGV2100108","spotify:user:31eggmwgwd6b5f4672kiiveoehya","2024-11-19T01:38:25Z"
"spotify:track:7vbNswMuvFdzG3ZEq1kKko","YELLOW","spotify:artist:2TobdWVZ5OdYaRqwN4kXzY","Violin Guy","spotify:album:0fQEbZqXcsriAEAjjvkofQ","COLORS","spotify:artist:2TobdWVZ5OdYaRqwN4kXzY","Violin Guy","2024-07-23","https://i.scdn.co/image/ab67616d0000b273702b7d8b12c9066387897df6","1","3","147810","https://p.scdn.co/mp3-preview/422eb11b2772857244251e994630564270e65beb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","QZK6G2446884","spotify:user:31eggmwgwd6b5f4672kiiveoehya","2024-11-21T00:08:44Z"
"spotify:track:4FycxLfl7H5CQnqw9J6LXZ","Palladio: I. Allegretto","spotify:artist:1q1wfzh2xtpj27TnIAqIvd, spotify:artist:2tPBV5n7Vdj6bVFFVIYhG6, spotify:artist:2NTfYFvgxsHKYf2IdHunXA, spotify:artist:5yxyJsFanEAuwSM5kOuZKc","Karl Jenkins, Carmine Lauri, David Alberman, London Symphony Orchestra","spotify:album:1EICPBWv4fDj3sy3vn6p0y","Quirk","spotify:artist:1q1wfzh2xtpj27TnIAqIvd, spotify:artist:5yxyJsFanEAuwSM5kOuZKc","Karl Jenkins, London Symphony Orchestra","2008","https://i.scdn.co/image/ab67616d0000b273ef91345d4eccc0d07cd588c0","1","14","226880","","false","65","GBPFW0800554","spotify:user:31eggmwgwd6b5f4672kiiveoehya","2024-12-12T22:13:10Z"
"spotify:track:6ifcyOVGN0IcUhMmYJygdB","chessic","spotify:artist:2TobdWVZ5OdYaRqwN4kXzY","Violin Guy","spotify:album:5HZsLVb2jODneXQLp1Gy44","chessic","spotify:artist:2TobdWVZ5OdYaRqwN4kXzY","Violin Guy","2025-01-06","https://i.scdn.co/image/ab67616d0000b27395b43949d210e3f844ae1749","1","1","131466","https://p.scdn.co/mp3-preview/d795349702c077c0fe2f010c089b224ee62d979f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","QZZ7Q2424706","spotify:user:31eggmwgwd6b5f4672kiiveoehya","2025-01-10T01:39:46Z"
"spotify:track:68GdTctioc47DxFQ1XXr7P","Experience - Reimagined","spotify:artist:2uFUBdaVGtyMqckSeCl0Qj","Ludovico Einaudi","spotify:album:4jDK1Y0FIgLbVUe5ZM9b6Q","In A Time Lapse (Reimagined)","spotify:artist:2uFUBdaVGtyMqckSeCl0Qj","Ludovico Einaudi","2024-07-19","https://i.scdn.co/image/ab67616d0000b273ec96b8f57c9cfdb1d8d6fd6c","1","4","380081","","false","53","ITB282400063","spotify:user:31eggmwgwd6b5f4672kiiveoehya","2025-05-10T22:07:30Z"
"spotify:track:00wDfKzdHxQhRRD4RgysRw","Reform","spotify:artist:1s71OiuXqJ8Catad9h0dlq, spotify:artist:6aJlQOYepoTia5Ag13XFyg, spotify:artist:7xpyZgjHGaPH4vgHga8BbO","Power-Haus, TOM-E, Future Cello","spotify:album:3J4c07K97YypGTi7F1yvQk","Virion","spotify:artist:1s71OiuXqJ8Catad9h0dlq, spotify:artist:6aJlQOYepoTia5Ag13XFyg, spotify:artist:7xpyZgjHGaPH4vgHga8BbO","Power-Haus, TOM-E, Future Cello","2025-10-10","https://i.scdn.co/image/ab67616d0000b2734c65592150c04b55ab8256e2","1","1","171666","https://p.scdn.co/mp3-preview/306d4297e4fcb65168fc36c67b0efa6f4c063759?cid=9950ac751e34487dbbe027c4fd7f8e99","false","10","GBHGV2500097","spotify:user:31eggmwgwd6b5f4672kiiveoehya","2025-10-12T13:08:37Z"
"spotify:track:2WGmCL4wPC9RoGvRnp8Goz","Choros - Remastered 2020","spotify:artist:2uFUBdaVGtyMqckSeCl0Qj","Ludovico Einaudi","spotify:album:13N7JjBSjtRhNZwf6FpsLn","Undiscovered","spotify:artist:2uFUBdaVGtyMqckSeCl0Qj","Ludovico Einaudi","2020-09-18","https://i.scdn.co/image/ab67616d0000b2739eabdc102e9cdf218c978481","1","14","350040","","false","50","ITB282000097","spotify:user:31eggmwgwd6b5f4672kiiveoehya","2025-12-11T20:37:37Z"
"spotify:track:3Da5CbGVl354ZoVhOaUUEW","Over Nine Waves","spotify:artist:77H7WLYHNHy0klUy1fGXIi","SuidAkrA","spotify:album:58TvmhLY2YlCIWxs3UeIti","Book of Dowth","spotify:artist:77H7WLYHNHy0klUy1fGXIi","SuidAkrA","2011-03-25","https://i.scdn.co/image/ab67616d0000b2739264e55762d7515bbb8db04b","1","1","117960","https://p.scdn.co/mp3-preview/935b5b9a5c40422b8cbf8c5ff485a472feebd310?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","DEU601003324","spotify:user:31eggmwgwd6b5f4672kiiveoehya","2025-12-27T02:45:48Z"
