"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:2pr6us08iPNzIex5q6fMvI","Together We Will Live Forever","spotify:artist:01xiB0IlXMXy3wrrotgDnU","Clint Mansell","spotify:album:7q18n1Pnq7mx6satptDoJ3","The Fountain OST","spotify:artist:01xiB0IlXMXy3wrrotgDnU, spotify:artist:0M6xcJTswOl2qvExCJhiS3","Clint Mansell, Kronos Quartet","2006-11-10","https://i.scdn.co/image/ab67616d0000b273fb6e4451f9d60cace76b0b0d","1","10","301733","https://p.scdn.co/mp3-preview/ac24d40e4c3231c00075b0f59d7658f95335ef0d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","USNO10600918","spotify:user:31eggmwgwd6b5f4672kiiveoehya","2023-01-22T23:09:29Z"
"spotify:track:01U308WcuEpbecX0I6unLo","四月","spotify:artist:3WYqCjjMsHCTGtDp28lrOg","nogfgoodnight","spotify:album:0emJoy0W9vSHX4apwjN0kA","四月の思い出","spotify:artist:3WYqCjjMsHCTGtDp28lrOg","nogfgoodnight","2019-08-08","https://i.scdn.co/image/ab67616d0000b273fc52105b442f46fad90e7266","1","1","100977","https://p.scdn.co/mp3-preview/7d05c61c460efe09335d76ae35426a96814ab5c0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","GBSMU6748159","spotify:user:31eggmwgwd6b5f4672kiiveoehya","2023-06-22T21:02:35Z"
"spotify:track:02Mxkf8nzMQd9DiBLhfhA1","apple dumplins","spotify:artist:3IYkO05jx2ouEKrI90Fml0","Slacker Jack's","spotify:album:4o2DvfLdEfzl0tmnoZhflh","apple dumplins","spotify:artist:3IYkO05jx2ouEKrI90Fml0","Slacker Jack's","2023-01-13","https://i.scdn.co/image/ab67616d0000b27393e9af935fbec8101462892c","1","1","153000","https://p.scdn.co/mp3-preview/b23d319c39bf80ccdf0f1a27a5b206f3f5fefbf9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","20","SEXGF2395016","spotify:user:31eggmwgwd6b5f4672kiiveoehya","2023-07-11T20:46:21Z"
"spotify:track:1YLMa2XAk3dKy0vYEVtUWM","Arabesque","spotify:artist:4k0moLthcxudxdBCI3SUb8, spotify:artist:3E6IjOeXDYo2swzAUYZ5ln","yuma yamaguchi, av4ln","spotify:album:21PcXK6X2irUZ1KSNwk3jy","时光代理人 (动画《时光代理人》原声带)","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2021-08-20","https://i.scdn.co/image/ab67616d0000b27315937ae61c194bfa008fd86b","1","18","129030","https://p.scdn.co/mp3-preview/eeed96a57702b90f3277f27304998897b705a5fb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","FRX282279614","spotify:user:31eggmwgwd6b5f4672kiiveoehya","2023-07-26T21:33:44Z"
"spotify:track:1x3Ts6HgEex5fJWBMlsNP8","Hit the Floor (lofi)","spotify:artist:37gab2kHkQ8LnCRXYRPHxe","Less Gravity","spotify:album:7ynsGRpOHUK3HuVgM3GVYp","Meteora (lofi)","spotify:artist:37gab2kHkQ8LnCRXYRPHxe","Less Gravity","2023-04-07","https://i.scdn.co/image/ab67616d0000b273a116a1ad26ae27e0f13a9535","1","5","71475","https://p.scdn.co/mp3-preview/1cc7d7e813cb179a76458d5f364d328842e3623e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","23","FIPHW2300025","spotify:user:31eggmwgwd6b5f4672kiiveoehya","2023-12-03T15:01:39Z"
"spotify:track:17i5jLpzndlQhbS4SrTd0B","Cello Suite No. 1 in G Major, BWV 1007: I. Prélude","spotify:artist:5aIqB5nVVvmFsvSdExz408, spotify:artist:5Dl3HXZjG6ZOWT5cV375lk","Johann Sebastian Bach, Yo-Yo Ma","spotify:album:3cvjMNWg7t46NyDZzujfNg","Bach: Cello Suites Nos. 1, 5 & 6","spotify:artist:5aIqB5nVVvmFsvSdExz408, spotify:artist:5Dl3HXZjG6ZOWT5cV375lk","Johann Sebastian Bach, Yo-Yo Ma","1983","https://i.scdn.co/image/ab67616d0000b273cbb64bd416bb225456100bbc","1","1","152280","https://p.scdn.co/mp3-preview/65b86dfaca856d5ce07276c008c63d807637e8c0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","71","USSM18200515","spotify:user:31eggmwgwd6b5f4672kiiveoehya","2024-01-11T20:37:55Z"
"spotify:track:2L2l5LSeaZ4xZPQlqAKsdY","Alone / Together","spotify:artist:39VNwvlQTqE9SvgPjjnMpc","NOTHING MORE","spotify:album:0A3y56apHg0MRM83MLBwhM","The Stories We Tell Ourselves","spotify:artist:39VNwvlQTqE9SvgPjjnMpc","NOTHING MORE","2017-09-15","https://i.scdn.co/image/ab67616d0000b273353504127a55a603352a32ed","1","11","90946","https://p.scdn.co/mp3-preview/a8392c1b87d2014d715731451ab5e2caa4f2f154?cid=9950ac751e34487dbbe027c4fd7f8e99","false","29","USDPK1700111","spotify:user:31eggmwgwd6b5f4672kiiveoehya","2024-01-31T15:32:42Z"
"spotify:track:1BncfTJAWxrsxyT9culBrj","Experience","spotify:artist:2uFUBdaVGtyMqckSeCl0Qj, spotify:artist:59r5UU2HOytn9V5uMZ5Vur, spotify:artist:1k1AM2ESRQseVAj6rvBdtx","Ludovico Einaudi, Daniel Hope, I Virtuosi Italiani","spotify:album:3uJ6D2WOPdjwJ0SrsH9EiG","In A Time Lapse","spotify:artist:2uFUBdaVGtyMqckSeCl0Qj","Ludovico Einaudi","2013-01-01","https://i.scdn.co/image/ab67616d0000b2736c8ef0538e04f2e28380dcc5","1","12","315426","","false","81","ITB281200070","spotify:user:31eggmwgwd6b5f4672kiiveoehya","2024-02-03T10:03:04Z"
"spotify:track:3weNRklVDqb4Rr5MhKBR3D","Nuvole Bianche","spotify:artist:2uFUBdaVGtyMqckSeCl0Qj","Ludovico Einaudi","spotify:album:0Ryad9M1b1MxSjgXdHCh1c","Una Mattina","spotify:artist:2uFUBdaVGtyMqckSeCl0Qj","Ludovico Einaudi","2004-01-01","https://i.scdn.co/image/ab67616d0000b2734ea8c5801bfdf5ac90719400","1","12","357706","","false","75","ITB280400109","spotify:user:31eggmwgwd6b5f4672kiiveoehya","2024-02-03T10:09:23Z"
"spotify:track:3c0VZEpuHQFWUNyedFR8T2","The Beginning Of All Things That Will End","spotify:artist:57ylwQTnFnIhJh4nu4rxCs","In Flames","spotify:album:6TaVKA8OkhhGvrbxCtZPpy","Foregone (Bonus Edition)","spotify:artist:57ylwQTnFnIhJh4nu4rxCs","In Flames","2024-02-09","https://i.scdn.co/image/ab67616d0000b273b42da327fef7175303311a11","1","1","133414","https://p.scdn.co/mp3-preview/905511cd9a3edd36ff4fa62e3c2e78dbc130f6ac?cid=9950ac751e34487dbbe027c4fd7f8e99","false","32","DED832200379","spotify:user:31eggmwgwd6b5f4672kiiveoehya","2024-02-09T21:47:23Z"
"spotify:track:0PBKGEFeElOX88OSYd7VpZ","The Arctic Suite: V. Sea Ice Melting (Violin-Piano Version)","spotify:artist:0ZjUUrNDmi4N4Ey5UTMebc, spotify:artist:4M2W6hcJWi6Nrd3XelpO3F, spotify:artist:1dk8ZJIE1IET4n4LrxzD6I","Jacob Shea, Eldbjørg Hemsing, Håvard Gimse","spotify:album:0Hm7Kz7QuBBYvNsr8j7elP","Shea: The Arctic Suite, V. Sea Ice Melting (Violin-Piano Version)","spotify:artist:0ZjUUrNDmi4N4Ey5UTMebc, spotify:artist:4M2W6hcJWi6Nrd3XelpO3F, spotify:artist:1dk8ZJIE1IET4n4LrxzD6I","Jacob Shea, Eldbjørg Hemsing, Håvard Gimse","2024-02-23","https://i.scdn.co/image/ab67616d0000b273a83dada2f46b4a37f92cbf14","1","1","209480","https://p.scdn.co/mp3-preview/90ab181cb97819aff0877f952078c3250e970559?cid=9950ac751e34487dbbe027c4fd7f8e99","false","14","DEE862301603","spotify:user:31eggmwgwd6b5f4672kiiveoehya","2024-02-26T14:51:06Z"
"spotify:track:6CbK9xi97zQ2dibY0lL4CD","Reflejo","spotify:artist:0liG9qD19eWrt5Ur4cnsYd","Murcof","spotify:album:6k3U34OSnIYIBBeykylXU4","Remembranza","spotify:artist:0liG9qD19eWrt5Ur4cnsYd","Murcof","2005-10-03","https://i.scdn.co/image/ab67616d0000b2735dab10b86232c3a413c05de9","1","6","546986","https://p.scdn.co/mp3-preview/9043265d35ea9a4806485d6b42481baaea81a3d6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GBCKB0500706","spotify:user:31eggmwgwd6b5f4672kiiveoehya","2024-02-28T18:35:14Z"
